account,v5 balance,v6 balance,scale factor used
00d9931b5923bb2adaeb36f3ad6f71ce,467.642633,16507.806313,35.3000456932249
00e696ad25585da3d4305fe917d31580,123.925245,4374.566811,35.3000456928691
00e7fa9144558aaa1e4dadd054b18f23,1324.660026,46760.559447,35.3000456941395
00ecb4f8f19c0e10a1c061b02834b72e,1166.748928,41186.290472,35.3000456941495
00eda60fb74362c9efecddc4ad3865c7,0.21539,7.603276,35.3000417846697
00f08330dc381491006f2af06399181d,1.984772,70.062542,35.3000455467933
00f2771730718295bfe92698890bb5b3,4547.36105,160522.052855,35.3000456946343
00f561cce6764d093bc9a8fc648c0b25,0.334076,11.792898,35.3000454986291
00fb0508103bbe0fe5d139337158ef13,4199.69539,148249.43917,35.3000456945045
00fb1414ff22eeecb8e01f688c04d76c,1688.648616,59609.373307,35.3000456946456
00fbc7f9fb828fe53929f97789812654,41954.782713,1481005.74688,35.3000456946974
0104b104804629ce2d301addca6dab21,0.91936,32.45345,35.3000456839541
0106518f0d743a7d866933b13962de4a,539.540008,19045.786936,35.3000456937384
010b833217abab856c8ffcef3bc9bcbc,3341.62493,117959.512723,35.3000456945358
010c10fd72978515d83d12de47fb0e45,1042.40905,36797.087097,35.3000456941543
010e83c31553a0dc611fdf149705708f,13.491832,476.262286,35.3000456869015
010f56cc16f28f4b868145a4f4df7871,1718.606201,60666.877426,35.3000456944121
011394527ee403ba414552ff48d6059e,5128.446852,181034.408218,35.3000456946141
0114844cf7cb14edae9edb3631ccc1f2,1,35.300045,35.300045
01170beb08b038278ed5aef25726fa8f,2612.863963,92234.217287,35.3000456943422
012338b54ba4625adcc313394d87819c,34451839.786178,139843367.536683,4.05909723267632
012345062ce76e68f1ac6d5506527aa1,28191844.489624,114450469.137102,4.05970135012718
01255e1b93de0c5c69940fe3688f6404,237.488946,8383.370645,35.3000456913898
0128d047b64a7e565fdb700c7c6b03f8,686.597051,24236.907274,35.300045694487
0130df76af4ab94e63421d7f428bf82a,1,35.300045,35.300045
0133f69d72a0e8a34b831cc56455afc0,961.657733,33946.561917,35.300045694116
0138d064fcc90c11af82ef795e391d06,1,35.300045,35.300045
013b9f09b7adb43b5a86c0edad049396,189.689504,6696.048159,35.3000456946738
