date,open,high,low,close,volume
2024-02-08,0.00165,0.0019,0.00158,0.00161,45480.21958000001
2024-02-09,0.00181,0.00187,0.00169,0.00184,26871.910969999997
2024-02-10,0.00187,0.00285,0.00175,0.00220,24824.941150000006
2024-02-11,0.00204,0.027,0.00153,0.00435,481725.28028289997
2024-02-12,0.00412,0.0485,0.00324,0.00730,600256.1100799998
2024-02-13,0.00650,0.0467,0.0035,0.00634,380962.96399000013
2024-02-14,0.00635,0.007,0.004,0.00600,319450.81437569996
2024-02-15,0.00610,0.045,0.00172,0.00580,218297.03919999988
2024-02-16,0.00610,0.0086,0.00511,0.00600,171991.14128559997
2024-02-17,0.00600,0.084,0.001,0.00950,1105980.2691900008
2024-02-18,0.00900,0.078,0.00612,0.00770,682064.7723025004
2024-02-19,0.00761,0.0099,0.0065,0.00736,280868.5073379999
2024-02-20,0.00815,0.055,0.00738,0.00900,348124.2218617999
2024-02-21,0.00880,0.00967,0.0076,0.00820,427592.93159000005
2024-02-22,0.00849,0.00948,0.00801,0.00861,182019.14053530007
2024-02-23,0.00860,0.011,0.0081,0.00953,425037.75181790005
2024-02-24,0.01100,0.015,0.0083,0.00831,197013.59258
2024-02-25,0.00930,0.01,0.0083,0.00987,114479.13848050004
2024-02-26,0.00950,0.00995,0.00105,0.00890,205367.72019999992
2024-02-27,0.00901,0.0094,0.008,0.00880,167444.81030539997
2024-02-28,0.00910,0.0919,0.0062,0.00900,438796.8175449998
2024-02-29,0.00910,0.0995,0.0085,0.01050,646765.750036
2024-03-01,0.01000,0.125,0.00849,0.01399,1374495.300713999
2024-03-02,0.01313,0.137,0.01228,0.01550,1047280.4264249998
2024-03-03,0.01494,0.149,0.00149,0.01425,585387.1019572001
2024-03-04,0.01330,0.11,0.00911,0.01165,543297.3789963998
2024-03-05,0.01155,0.1183,0.0093,0.01000,303694.57231200015
2024-03-06,0.01067,0.1225,0.0095,0.01188,272958.2412799999
2024-03-07,0.01190,0.125,0.0095,0.01180,303777.99590000004
2024-03-08,0.01185,0.11,0.0096,0.01204,493017.7949860001
2024-03-09,0.01200,0.01277,0.0095,0.01012,160581.67661999998
2024-03-10,0.01030,0.098,0.0061,0.01112,194505.32229960005
2024-03-11,0.00972,0.01158,0.00813,0.00963,161951.18863999995
2024-03-12,0.00980,0.0833,0.005,0.00982,339531.6671351998
2024-03-13,0.01096,0.014,0.009,0.01244,214645.19571340003
2024-03-14,0.00999,0.095,0.00911,0.00978,97444.05824939997
2024-03-15,0.01043,0.0953,0.0075,0.00976,130682.49061999959
2024-03-16,0.00970,0.00976,0.007,0.00876,77850.01978
2024-03-17,0.00920,0.00973,0.006,0.00900,33279.783469999995
2024-03-18,0.00893,0.00973,0.0072,0.00973,62591.84319000001
2024-03-19,0.00900,0.0135,0.00811,0.00950,56761.75704
2024-03-20,0.00951,0.01364,0.00851,0.00995,15915.991530000001
2024-03-21,0.01030,0.0953,0.0093,0.00971,15979.0093
2024-03-22,0.01049,0.0135,0.00958,0.01350,62346.22220999998
2024-03-23,0.01068,0.097,0.01002,0.01128,22429.519519999998
2024-03-24,0.01129,0.1076,0.01051,0.01400,29311.60092
2024-03-25,0.01085,0.019,0.0101,0.01064,55150.71455000002
2024-03-26,0.01115,0.017,0.01,0.01300,113461.91399000006
2024-03-27,0.01350,0.014,0.0001,0.01100,139826.48554999995
2024-03-28,0.01010,0.012,0.0091,0.01165,48441.728540000004
2024-03-29,0.01100,0.01169,0.009,0.01087,15895.294280000002
2024-03-30,0.01112,0.09,0.009,0.01077,20912.682
2024-03-31,0.00991,0.01068,0.00838,0.00956,68047.41620000002
